frame.len,frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.length,radiotap.timestamp.ts,wlan.duration,wlan.fc.frag,wlan.fc.order,wlan.fc.moredata,wlan.fc.protected,wlan.fc.pwrmgt,wlan.fc.type,wlan.fc.retry,wlan.fc.subtype,wlan_radio.duration,wlan.seq,wlan_radio.data_rate,wlan_radio.signal_dbm,wlan_radio.phy,wlan.sa,wlan.da,wlan.bssid,frame.interface_name
87,0.000000000,0.000000000,1744874370.956238160,0.000000000,13,,0,False,False,False,True,False,2,False,8,688,3345,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
150,0.021383746,0.021383746,1744874370.977621906,0.021383746,68,1198570447,44,False,False,False,True,False,2,False,8,,943,258.1,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
150,0.000000010,0.000000010,1744874370.977621916,0.021383756,68,1198570447,44,False,False,False,True,False,2,False,8,,943,258.1,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
150,0.000028283,0.000028283,1744874370.977650199,0.021412039,68,1198570447,44,False,False,False,True,False,2,False,8,,943,258.1,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
87,0.008362835,0.008362835,1744874370.986013034,0.029774874,13,,0,False,False,False,True,False,2,False,8,688,3346,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
1530,0.052256539,0.052256539,1744874371.038269573,0.082031413,68,1198630753,44,False,False,False,True,False,2,False,8,,949,229.4,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
150,0.000000100,0.000000100,1744874371.038269673,0.082031513,68,1198630753,44,False,False,False,True,False,2,False,8,,952,229.4,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1530,-0.000000120,-0.000000120,1744874371.038269553,0.082031393,68,1198630753,44,False,False,False,True,False,2,False,8,,946,229.4,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
328,0.000000130,0.000000130,1744874371.038269683,0.082031523,68,1198630753,44,False,False,False,True,False,2,True,8,,944,229.4,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
328,0.000000010,0.000000010,1744874371.038269693,0.082031533,68,1198630753,44,False,False,False,True,False,2,True,8,,944,229.4,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
