frame.encap_type,frame.len,frame.number,frame.time,frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.channel.flags.cck,radiotap.channel.flags.ofdm,radiotap.channel.freq,radiotap.dbm_antsignal,radiotap.length,radiotap.present.tsft,radiotap.rxflags,radiotap.timestamp.ts,wlan.duration,wlan.fc.ds,wlan.fc.frag,wlan.fc.order,wlan.fc.moredata,wlan.fc.protected,wlan.fc.pwrmgt,wlan.fc.type,wlan.fc.retry,wlan.fc.subtype,wlan.ra,wlan_radio.duration,wlan_radio.channel,wlan_radio.data_rate,wlan_radio.frequency,wlan_radio.signal_dbm,wlan_radio.phy,Label
23.0,1602.0,2181414.0,Dec 15- 2020 23:03:56.474001000 GTB Standard Time,1e-06,1e-06,1608066236.0,574.468363,0.0,1.0,5180.0,-154,64.0,0-0-0,0x00000000,3874945401.0,110.0,0x00000002,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,5a:d5:e5:2e:bb:f2,197.0,36.0,78.0,5180.0,-52.0,8.0,Evil_Twin
23.0,170.0,2456392.0,Dec 22- 2020 17:46:36.511768000 GTB Standard Time,2e-06,2e-06,1608651997.0,578.883389,0.0,1.0,5180.0,-112,64.0,0-0-0,0x00000000,3580147908.0,48.0,0x00000001,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0c:9d:92:54:fe:34,44.0,36.0,173.333,5180.0,-37.0,8.0,SQL_Injection
23.0,263.0,1472502.0,Dec 18- 2020 20:41:34.916864000 GTB Standard Time,0.0029,0.0029,1608316895.0,492.944001,0.0,1.0,5180.0,-123,56.0,1-0-0,0x00000000,855471803.0,0.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,ff:ff:ff:ff:ff:ff,300.0,36.0,6.0,5180.0,-40.0,5.0,RogueAP
23.0,158.0,1613584.0,Dec 15- 2020 15:28:06.886205000 GTB Standard Time,6.3e-05,6.3e-05,1608038887.0,493.98237,0.0,1.0,5180.0,-183,64.0,0-0-0,0x00000000,6233018.0,110.0,0x00000001,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0c:9d:92:54:fe:34,44.0,36.0,173.333,5180.0,-58.0,8.0,Malware
23.0,1602.0,2062192.0,Dec 15- 2020 23:03:27.185319000 GTB Standard Time,2e-06,2e-06,1608066207.0,545.179681,0.0,1.0,5180.0,-147,64.0,0-0-0,0x00000000,3845657145.0,110.0,0x00000002,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,a4:08:ea:2a:9a:01,145.0,36.0,117.0,5180.0,-48.0,8.0,Evil_Twin
23.0,1610.0,1666556.0,Dec 15- 2020 15:28:18.446916000 GTB Standard Time,0.000145,0.000145,1608038898.0,505.543081,0.0,1.0,5180.0,-104,64.0,0-0-0,0x00000000,17793456.0,48.0,0x00000002,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,a4:b1:c1:91:4c:72,111.0,36.0,173.333,5180.0,-34.0,8.0,Normal
23.0,86.0,2009905.0,Dec 26- 2020 21:04:32.638449000 GTB Standard Time,8e-05,8e-05,1609009473.0,473.813976,0.0,1.0,5180.0,-111,56.0,1-0-0,0x00000000,4235680838.0,60.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24:f5:a2:ea:86:c3,64.0,36.0,6.0,5180.0,-36.0,5.0,Kr00k
23.0,1618.0,1022600.0,Dec 15- 2020 15:26:21.962261000 GTB Standard Time,3e-06,3e-06,1608038782.0,389.058426,0.0,1.0,5180.0,-164,64.0,0-0-0,0x00000000,4196275991.0,48.0,0x00000001,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0c:9d:92:54:fe:34,111.0,36.0,173.333,5180.0,-56.0,8.0,Malware
23.0,86.0,2283569.0,Dec 26- 2020 21:05:01.757695000 GTB Standard Time,8.4e-05,8.4e-05,1609009502.0,502.933222,0.0,1.0,5180.0,-111,56.0,1-0-0,0x00000000,4264799743.0,60.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24:f5:a2:ea:86:c3,64.0,36.0,6.0,5180.0,-36.0,5.0,Kr00k
23.0,80.0,1316742.0,Dec 10- 2020 22:01:01.177013000 GTB Standard Time,0.000456,0.000456,1607630461.0,488.248771,1.0,0.0,2417.0,-198,56.0,1-0-0,0x00000000,1554730997.0,458.0,0x00000000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0c:9d:92:54:fe:30,384.0,2.0,1.0,2417.0,-61.0,4.0,Krack
